label,symbol,status,latest_date,latest_close,ytd_pct,return_5d_pct,return_20d_pct,return_60d_pct,error
Munters MTRS.ST,MTRS.ST,ok,2026-09-08,160.55,-16.6,-4.4,-9.1,-17.2,
Murata 6981.T,6981.T,ok,2026-09-08,7023.0,112.9,-3.7,-3.8,-17.9,
NEE,NEE,ok,2026-09-04,83.43,5.3,1.9,-0.7,-1.2,
NVDA,NVDA,ok,2026-09-04,230.36,22.1,5.9,2.9,14.9,
Nan Ya PCB 8046.TW,8046.TW,ok,2026-09-08,1025.0,333.4,-16.3,-10.9,19.4,
ON,ON,ok,2026-09-04,74.38,31.2,2.4,-8.4,-32.5,
ORCL,ORCL,ok,2026-09-04,158.78,-18.1,5.3,8.0,-20.8,
Organo 6368.T,6368.T,ok,2026-09-08,12415.0,-8.2,-4.6,-13.8,-18.1,
POWL,POWL,ok,2026-09-04,181.17,54.4,-0.8,-14.3,-30.9,
PRIM,PRIM,ok,2026-09-04,74.43,-42.9,1.8,-9.9,-20.7,
PWR,PWR,ok,2026-09-04,624.41,42.1,3.6,-7.1,-4.1,
ROHM 6963.T,6963.T,ok,2026-09-08,4875.0,115.7,-0.6,3.5,-1.2,
Rolls-Royce RR.L,RR.L,ok,2026-09-08,1477.6,23.5,1.3,-4.1,8.8,
SK Hynix 000660.KS,000660.KS,ok,2026-09-08,1793000.0,165.4,5.9,26.3,-16.6,
STM,STM,ok,2026-09-04,52.24,91.6,5.8,-6.9,-26.1,
STRL,STRL,ok,2026-09-04,486.49,52.4,3.4,-11.1,-36.8,
SUMCO 3436.T,3436.T,ok,2026-09-08,3083.0,113.3,-7.1,-11.6,-15.4,
Samsung Electro-Mechanics 009150.KS,009150.KS,ok,2026-09-08,1370000.0,407.4,-4.2,7.5,-20.1,
Samsung Electronics 005930.KS,005930.KS,ok,2026-09-08,269500.0,110.4,3.3,17.2,-16.3,
Schneider SU.PA,SU.PA,ok,2026-09-08,296.4,27.0,0.6,-1.9,9.7,
Shin-Etsu 4063.T,4063.T,ok,2026-09-08,5702.0,16.3,-4.5,-9.3,-20.7,
Shinko 6967.T,6967.T,no_data,,,,,,,
Siemens Energy ENR.DE,ENR.DE,ok,2026-09-08,147.84,20.9,4.0,-4.4,-5.4,
Sumitomo Electric 5802.T,5802.T,ok,2026-09-08,2071.0,24.8,-6.2,-4.2,-24.5,
TDK 6762.T,6762.T,ok,2026-09-08,2775.0,24.5,-9.9,-8.9,-20.8,
TEL,TEL,ok,2026-09-04,208.65,-9.6,3.0,-3.2,3.7,
TSM,TSM,ok,2026-09-04,428.91,34.9,2.7,2.1,5.2,
TT,TT,ok,2026-09-04,447.9,13.3,-0.0,-6.9,-0.0,
Taiyo Yuden 6976.T,6976.T,ok,2026-09-08,9046.0,149.0,-2.6,-5.3,-42.5,
Tokyo Electron 8035.T,8035.T,ok,2026-09-08,54000.0,47.6,-1.8,-4.8,-20.6,
Tokyo Ohka Kogyo 4186.T,4186.T,ok,2026-09-08,8104.0,35.4,-5.0,-10.2,-17.9,
Unimicron 3037.TW,3037.TW,ok,2026-09-08,954.0,336.5,-1.8,-3.8,-0.4,
VRT,VRT,ok,2026-09-04,280.53,59.8,9.1,3.0,-0.1,
VSH,VSH,ok,2026-09-04,31.8,109.5,4.1,-10.2,-41.7,
VST,VST,ok,2026-09-04,149.3,-9.4,8.9,6.2,7.9,
Veolia VIE.PA,VIE.PA,ok,2026-09-08,31.88,10.4,-2.2,-7.8,-10.4,
Walsin 2492.TW,2492.TW,ok,2026-09-08,318.5,157.2,5.3,6.0,-28.8,
Xylem XYL,XYL,ok,2026-09-04,105.69,-22.1,-5.0,-11.8,-1.0,
Yageo 2327.TW,2327.TW,ok,2026-09-08,567.0,137.0,-0.2,-8.1,-39.7,
Zhongji Innolight 300308.SZ,300308.SZ,ok,2026-09-08,902.37,44.9,5.0,1.7,-27.5,
nVent NVT,NVT,ok,2026-09-04,156.03,46.8,5.1,-5.3,-0.4,
